################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1978177547547698E-01 a         1     0     1     1     1
  2.0775020230139860E-01 a         2     0     1     1     2
 -1.4226211599346500E-01 a         3     0     1     1     3
 -2.7952574057617829E-01 a         4     0     1     1     4
 -2.2746016470120017E-01 a         5     0     1     1     5
 -5.8773617241153729E-02 a         6     0     1     1     6
  1.6994746116072482E-01 a         7     0     1     1     7
 -2.0041738054769156E-01 a         8     0     1     1     8
  1.8777775967534463E-01 a         9     0     1     1     9
  3.5761089509836130E-01 a        10     0     1     1    10
  2.9073601357905821E-01 a        11     0     1     1    11
 -2.4325968063670012E-01 a        12     0     1     1    12
 -1.3140792963614290E-01 a        13     0     1     1    13
 -1.8375918288953214E-01 a        14     0     1     1    14
  3.5066957372080848E-02 a        15     0     1     1    15
  1.4341473033198177E-02 a        16     0     1     1    16
 -2.4927421477984738E-01 a        17     0     1     1    17
 -5.9619411286610614E-02 a        18     0     1     1    18
  1.2355658939417587E-02 a        19     0     1     1    19
 -3.7436719920992795E-01 a        20     0     1     1    20
  2.7640685437489220E-02 a        21     0     2     1     1
 -3.5061817172483196E-02 a        22     0     2     1     2
 -1.2089444341833443E-01 a        23     0     2     1     3
 -1.4616576189758457E-01 a        24     0     2     1     4
  9.1602210355070796E-02 a        25     0     2     1     5
 -3.8773074079527059E-01 a        26     0     2     1     6
 -4.4892532292324068E-03 a        27     0     2     1     7
  4.0940272488284302E-02 a        28     0     2     1     8
 -5.2447867337841500E-02 a        29     0     2     1     9
  8.9347038615416374E-02 a        30     0     2     1    10
  2.5542756856666259E-02 a        31     0     2     1    11
 -1.2483962283364448E-01 a        32     0     2     1    12
  7.7346110356003972E-02 a        33     0     2     1    13
 -9.4011090389945883E-03 a        34     0     2     1    14
 -1.1320981977231663E-01 a        35     0     2     1    15
 -7.6838528256786595E-02 a        36     0     2     1    16
 -5.5193516297241067E-03 a        37     0     2     1    17
 -1.8307609678004919E-02 a        38     0     2     1    18
  2.3815157913971507E-01 a        39     0     2     1    19
 -1.4515042324339589E-01 a        40     0     2     1    20
  9.4277378861154990E-03 a        41     0     3     1     1
  1.5876723691294634E-01 a        42     0     3     1     2
 -2.2783135428229251E-01 a        43     0     3     1     3
  2.9611677611688486E-01 a        44     0     3     1     4
  1.5098290540517173E-01 a        45     0     3     1     5
  3.1395343616988369E-01 a        46     0     3     1     6
  9.9403033044970390E-02 a        47     0     3     1     7
  8.5819175719269294E-02 a        48     0     3     1     8
 -1.5805646011652835E-01 a        49     0     3     1     9
 -1.3186434485419518E-01 a        50     0     3     1    10
  2.7348035283221966E-02 a        51     0     3     1    11
 -1.2196068083576227E-01 a        52     0     3     1    12
  2.6363395598179357E-01 a        53     0     3     1    13
  1.7024380917041537E-01 a        54     0     3     1    14
 -2.4408153155459414E-01 a        55     0     3     1    15
 -8.3247800331099284E-02 a        56     0     3     1    16
  1.0405184398017420E-01 a        57     0     3     1    17
 -2.2782168421391660E-02 a        58     0     3     1    18
  1.7602941959114862E-01 a        59     0     3     1    19
 -1.1219261188346054E-02 a        60     0     3     1    20
 -8.3755145298985367E-02 a        61     0     4     1     1
  4.8610016415665459E-02 a        62     0     4     1     2
 -9.7948065610660620E-02 a        63     0     4     1     3
 -4.0379388576680560E-02 a        64     0     4     1     4
 -9.5837154445831088E-02 a        65     0     4     1     5
  8.3929024881242251E-02 a        66     0     4     1     6
 -6.6841440802319976E-02 a        67     0     4     1     7
 -2.8743899299518184E-02 a        68     0     4     1     8
 -1.7835634958751431E-01 a        69     0     4     1     9
 -5.3197888281764361E-02 a        70     0     4     1    10
  3.3510562851815626E-02 a        71     0     4     1    11
  1.0483012280925481E-01 a        72     0     4     1    12
  3.3607821785066098E-02 a        73     0     4     1    13
 -2.4043114031784382E-02 a        74     0     4     1    14
  1.6081067530124202E-01 a        75     0     4     1    15
  1.4777378361614105E-01 a        76     0     4     1    16
 -9.1465340110950130E-02 a        77     0     4     1    17
  1.2267749041553372E-01 a        78     0     4     1    18
  3.6885427234532864E-02 a        79     0     4     1    19
 -4.2519441338103994E-02 a        80     0     4     1    20
 -3.1167385345374034E-02 a        81     0     5     1     1
  1.3321263476017725E-01 a        82     0     5     1     2
  2.6569184113885272E-02 a        83     0     5     1     3
  9.1541957724208915E-03 a        84     0     5     1     4
 -1.2401792584680936E-01 a        85     0     5     1     5
 -1.1297840716512166E-01 a        86     0     5     1     6
  4.8237799391998626E-02 a        87     0     5     1     7
  1.4988235271724865E-01 a        88     0     5     1     8
  2.0199890372835139E-02 a        89     0     5     1     9
  1.9082245687405483E-01 a        90     0     5     1    10
 -1.2266811094337537E-01 a        91     0     5     1    11
  2.4910514671784076E-01 a        92     0     5     1    12
 -9.7597877607496941E-02 a        93     0     5     1    13
 -1.8142195791499599E-01 a        94     0     5     1    14
  4.1012512058702912E-02 a        95     0     5     1    15
 -1.6083104153465222E-01 a        96     0     5     1    16
 -1.9450781015204591E-01 a        97     0     5     1    17
 -1.2558398589435682E-01 a        98     0     5     1    18
 -9.7986558555702916E-02 a        99     0     5     1    19
 -1.8524214059038549E-02 a       100     0     5     1    20
 -2.8928214094416466E-01 a       101     0     6     1     1
 -4.5496939197088887E-02 a       102     0     6     1     2
 -5.0276731478134738E-02 a       103     0     6     1     3
  2.5920505987142117E-01 a       104     0     6     1     4
  9.6866597779610458E-02 a       105     0     6     1     5
 -2.5477838238327782E-01 a       106     0     6     1     6
 -3.2647717815002042E-01 a       107     0     6     1     7
  4.1259325369319938E-01 a       108     0     6     1     8
  1.7502937523411968E-01 a       109     0     6     1     9
 -4.3758199950521853E-01 a       110     0     6     1    10
 -4.4967422103850790E-01 a       111     0     6     1    11
  3.6079164512850909E-01 a       112     0     6     1    12
  1.6541080880718922E-01 a       113     0     6     1    13
 -6.3917712477122982E-02 a       114     0     6     1    14
 -4.7525097015030632E-01 a       115     0     6     1    15
 -3.1146357935449737E-01 a       116     0     6     1    16
  7.4472365701448229E-01 a       117     0     6     1    17
 -9.1874349697566582E-02 a       118     0     6     1    18
  6.6577016899524111E-01 a       119     0     6     1    19
  3.2507228807694732E-01 a       120     0     6     1    20
  1.8725285354566229E-01 a       121     0     7     1     1
 -7.3782878171530120E-02 a       122     0     7     1     2
 -1.7007409382265073E-01 a       123     0     7     1     3
  2.5384594209128347E-01 a       124     0     7     1     4
  1.2125132252917085E-01 a       125     0     7     1     5
 -9.7462793691440050E-02 a       126     0     7     1     6
 -4.8641137831275834E-02 a       127     0     7     1     7
  7.2875424124914795E-02 a       128     0     7     1     8
 -9.7714562530077098E-02 a       129     0     7     1     9
  1.6472511600770021E-01 a       130     0     7     1    10
 -1.7202617431041717E-01 a       131     0     7     1    11
  1.5269977775972582E-01 a       132     0     7     1    12
  1.0446991600433725E-01 a       133     0     7     1    13
 -1.4509655950644304E-01 a       134     0     7     1    14
 -6.3366579930278596E-02 a       135     0     7     1    15
  1.5032580872670298E-01 a       136     0     7     1    16
  3.3512416846635967E-01 a       137     0     7     1    17
  2.2934986213252240E-01 a       138     0     7     1    18
 -1.7606054828701084E-01 a       139     0     7     1    19
 -6.5896633884103065E-02 a       140     0     7     1    20
 -1.5266113782498067E-01 a       141     0     8     1     1
 -1.7277428813439447E-01 a       142     0     8     1     2
  8.0429854008161897E-02 a       143     0     8     1     3
  5.0768782046058968E-02 a       144     0     8     1     4
 -2.2275748571219747E-02 a       145     0     8     1     5
  1.9062151011831135E-01 a       146     0     8     1     6
  1.4771022760101174E-01 a       147     0     8     1     7
  4.0251751909067629E-02 a       148     0     8     1     8
  2.2159007679097095E-01 a       149     0     8     1     9
  9.4490623515918956E-02 a       150     0     8     1    10
 -4.5255197287847285E-02 a       151     0     8     1    11
  5.5466164460631781E-02 a       152     0     8     1    12
 -1.0204595197608475E-01 a       153     0     8     1    13
  3.6036785043912431E-02 a       154     0     8     1    14
 -4.2411187594426400E-02 a       155     0     8     1    15
  1.1624267409881095E-01 a       156     0     8     1    16
  5.2635157608329479E-02 a       157     0     8     1    17
  1.9372009453479125E-02 a       158     0     8     1    18
 -1.1958294493688296E-01 a       159     0     8     1    19
 -5.5197260503516615E-02 a       160     0     8     1    20
 -1.8615735252671135E-02 a       161     0     9     1     1
 -6.0938027653520702E-02 a       162     0     9     1     2
 -1.0789065502546170E-01 a       163     0     9     1     3
  7.9946885442068072E-02 a       164     0     9     1     4
  1.5028801320504668E-02 a       165     0     9     1     5
  3.5629040603262566E-02 a       166     0     9     1     6
  2.0200878819607571E-02 a       167     0     9     1     7
 -1.6955047949837410E-01 a       168     0     9     1     8
  1.4125541290114438E-01 a       169     0     9     1     9
  1.0416233794209303E-02 a       170     0     9     1    10
  8.1232350544909807E-02 a       171     0     9     1    11
 -2.5630422739612801E-01 a       172     0     9     1    12
  5.1096679021517662E-02 a       173     0     9     1    13
  1.9292092485114626E-01 a       174     0     9     1    14
 -8.1609497467251713E-02 a       175     0     9     1    15
 -6.1485914445749773E-02 a       176     0     9     1    16
  9.7684467380296139E-02 a       177     0     9     1    17
 -5.5576135262045280E-02 a       178     0     9     1    18
  6.8136932817964471E-02 a       179     0     9     1    19
  5.0660750154836703E-02 a       180     0     9     1    20
  6.9811973118645815E-02 a       181     0    10     1     1
  4.7560003408499335E-02 a       182     0    10     1     2
  2.5341751419666514E-01 a       183     0    10     1     3
 -8.8959957042328425E-02 a       184     0    10     1     4
  9.0976217450361080E-02 a       185     0    10     1     5
  1.0334279153860458E-01 a       186     0    10     1     6
  1.0657446336422421E-01 a       187     0    10     1     7
  1.6274015138593895E-01 a       188     0    10     1     8
  8.4612937959436710E-02 a       189     0    10     1     9
 -5.5663127675171876E-02 a       190     0    10     1    10
  1.8009810053769557E-01 a       191     0    10     1    11
 -1.6894556041151551E-01 a       192     0    10     1    12
  3.1068659086804624E-02 a       193     0    10     1    13
 -1.0933997018462961E-01 a       194     0    10     1    14
 -3.7918123826833731E-02 a       195     0    10     1    15
 -1.1671276689746836E-01 a       196     0    10     1    16
  6.8824907139832581E-02 a       197     0    10     1    17
  9.2721736519766576E-02 a       198     0    10     1    18
  1.1263843650371753E-01 a       199     0    10     1    19
 -1.5204831448260304E-02 a       200     0    10     1    20
 -2.0348122505844210E-01 a       201     0    11     1     1
  7.8315487395235653E-02 a       202     0    11     1     2
 -1.2724648621397469E-01 a       203     0    11     1     3
  2.1988253224464677E-01 a       204     0    11     1     4
