################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.6135752526992562E-02 a         1     0     1     1     1
  6.1255116713555158E-02 a         2     0     1     1     2
  2.4381756059372098E-01 a         3     0     1     1     3
  7.8294225032805156E-02 a         4     0     1     1     4
  1.1056407967771428E-01 a         5     0     1     1     5
  3.5770322817033948E-02 a         6     0     1     1     6
 -6.0536918329021028E-02 a         7     0     1     1     7
  6.5222201703442756E-02 a         8     0     1     1     8
  2.0015717531626279E-01 a         9     0     1     1     9
 -7.6930490616668415E-02 a        10     0     1     1    10
 -8.3769185787811395E-02 a        11     0     1     1    11
  1.7840527406675977E-01 a        12     0     1     1    12
 -1.7693504117214753E-01 a        13     0     1     1    13
 -6.5520639136148084E-02 a        14     0     1     1    14
  5.9194980569107505E-02 a        15     0     1     1    15
 -4.5062499613824306E-03 a        16     0     1     1    16
 -4.5395678355516680E-02 a        17     0     1     1    17
 -1.4846334458078528E-01 a        18     0     1     1    18
 -1.6901695505550557E-01 a        19     0     1     1    19
 -1.9992848147058634E-01 a        20     0     1     1    20
  8.6563661513975029E-02 a        21     0     2     1     1
  2.9510824726048561E-03 a        22     0     2     1     2
 -7.5694553039261175E-02 a        23     0     2     1     3
 -1.4653730260814655E-02 a        24     0     2     1     4
 -6.2248356786354531E-03 a        25     0     2     1     5
  9.4179539767920414E-02 a        26     0     2     1     6
 -3.5565169245331922E-02 a        27     0     2     1     7
  1.1230868222671046E-02 a        28     0     2     1     8
  1.4706886185298995E-01 a        29     0     2     1     9
  4.6018247100860062E-02 a        30     0     2     1    10
  2.3495034974956124E-02 a        31     0     2     1    11
  5.5242483469231888E-03 a        32     0     2     1    12
  9.3102823294731574E-02 a        33     0     2     1    13
  1.9342567615517414E-04 a        34     0     2     1    14
 -5.1073241739508134E-02 a        35     0     2     1    15
 -3.0055534275917492E-02 a        36     0     2     1    16
  6.2831894582640616E-02 a        37     0     2     1    17
  2.0686470465952195E-02 a        38     0     2     1    18
  8.0039302215118534E-03 a        39     0     2     1    19
 -2.9788049579504153E-02 a        40     0     2     1    20
  1.3414879991888751E-02 a        41     0     3     1     1
 -3.0887597114058914E-02 a        42     0     3     1     2
  1.4765024514577379E-02 a        43     0     3     1     3
 -2.7923995879112019E-02 a        44     0     3     1     4
  4.3124917999909224E-02 a        45     0     3     1     5
 -8.4148622395369951E-02 a        46     0     3     1     6
  8.9638231677662814E-02 a        47     0     3     1     7
  2.6420815684303950E-01 a        48     0     3     1     8
 -1.0498794959279362E-01 a        49     0     3     1     9
 -9.0781808401457206E-02 a        50     0     3     1    10
 -1.0463932677619242E-02 a        51     0     3     1    11
 -7.7995635908746072E-02 a        52     0     3     1    12
 -1.2718066936411951E-01 a        53     0     3     1    13
 -3.7905538772984339E-02 a        54     0     3     1    14
