################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.7571836825811150E-02 a         1     0     1     1     1
 -1.0269576827135921E-01 a         2     0     1     1     2
 -1.6335520309090809E-01 a         3     0     1     1     3
  6.0268284606271809E-02 a         4     0     1     1     4
 -2.0475367571600100E-01 a         5     0     1     1     5
 -1.5485517895466269E-01 a         6     0     1     1     6
  2.2878512444658264E-01 a         7     0     1     1     7
  4.2030787881269120E-02 a         8     0     1     1     8
 -1.2904001913679873E-02 a         9     0     1     1     9
  1.0591008553282695E-01 a        10     0     1     1    10
  1.7043478265245718E-01 a        11     0     1     1    11
 -1.0490292161525615E-01 a        12     0     1     1    12
  1.1547804897160154E-02 a        13     0     1     1    13
  1.6119573128674988E-01 a        14     0     1     1    14
  1.6738968010756427E-02 a        15     0     1     1    15
  3.0938439549257193E-02 a        16     0     1     1    16
  1.5374623684781674E-01 a        17     0     1     1    17
  1.2068564713868665E-01 a        18     0     1     1    18
 -1.2140781123990936E-01 a        19     0     1     1    19
 -6.2262351747560861E-02 a        20     0     1     1    20
  1.3011827065300943E-01 a        21     0     2     1     1
 -5.5846195650391152E-03 a        22     0     2     1     2
 -1.1751267726624873E-01 a        23     0     2     1     3
 -1.1858647378852054E-01 a        24     0     2     1     4
  5.7581074335433684E-02 a        25     0     2     1     5
 -9.8793329788895174E-03 a        26     0     2     1     6
 -1.3358583081081632E-01 a        27     0     2     1     7
  1.0795028181106146E-01 a        28     0     2     1     8
  1.2020124508142623E-01 a        29     0     2     1     9
 -1.9029361356202895E-01 a        30     0     2     1    10
  5.0096403816999778E-02 a        31     0     2     1    11
 -3.2790187023721988E-02 a        32     0     2     1    12
  3.4753302838826682E-03 a        33     0     2     1    13
  7.9564464841942698E-02 a        34     0     2     1    14
 -9.9439081207609817E-02 a        35     0     2     1    15
 -1.1680829567059349E-01 a        36     0     2     1    16
  1.6589433147691154E-01 a        37     0     2     1    17
  3.9147127845565378E-02 a        38     0     2     1    18
  3.2769476754191662E-01 a        39     0     2     1    19
  9.7158538649691678E-02 a        40     0     2     1    20
  1.8789689130290971E-01 a        41     0     3     1     1
 -6.3220004106988109E-02 a        42     0     3     1     2
  1.4815917458838379E-01 a        43     0     3     1     3
 -3.1047931786136679E-01 a        44     0     3     1     4
 -7.4909122192259245E-02 a        45     0     3     1     5
  2.7954104735069919E-02 a        46     0     3     1     6
  5.3107104249568424E-02 a        47     0     3     1     7
 -1.1883020436586540E-01 a        48     0     3     1     8
  5.7794197370829373E-02 a        49     0     3     1     9
 -6.6598591100286902E-02 a        50     0     3     1    10
  1.1735631455709986E-01 a        51     0     3     1    11
  5.0686627871089844E-02 a        52     0     3     1    12
  1.0995147617681671E-01 a        53     0     3     1    13
 -1.2470764321245048E-03 a        54     0     3     1    14
  5.0212327057030728E-02 a        55     0     3     1    15
  1.0279820024407169E-01 a        56     0     3     1    16
  2.5260276350126624E-02 a        57     0     3     1    17
 -9.2464190204506011E-02 a        58     0     3     1    18
  1.4726491581940210E-01 a        59     0     3     1    19
  1.5305501765831689E-01 a        60     0     3     1    20
 -1.0887817584180586E-03 a        61     0     4     1     1
  1.2811550975702013E-01 a        62     0     4     1     2
  3.1852909080576058E-02 a        63     0     4     1     3
  1.3278247422474884E-01 a        64     0     4     1     4
 -1.4251626800647113E-01 a        65     0     4     1     5
 -4.3637659885457196E-02 a        66     0     4     1     6
 -1.6043334260157197E-01 a        67     0     4     1     7
  1.2774037613167766E-01 a        68     0     4     1     8
  1.2510370631927054E-02 a        69     0     4     1     9
 -1.2902579912526041E-01 a        70     0     4     1    10
  6.8613891979559222E-02 a        71     0     4     1    11
  1.2844132425580831E-01 a        72     0     4     1    12
 -8.3916323111506874E-02 a        73     0     4     1    13
  1.3497634797469628E-02 a        74     0     4     1    14
 -1.0104827796530412E-01 a        75     0     4     1    15
 -1.9228665387188276E-01 a        76     0     4     1    16
  2.0218125328623573E-02 a        77     0     4     1    17
 -5.8607297214245905E-03 a        78     0     4     1    18
  1.0628559920403541E-01 a        79     0     4     1    19
  2.6658542462035219E-02 a        80     0     4     1    20
  1.4620939029530200E-01 a        81     0     5     1     1
 -2.7065560529535966E-02 a        82     0     5     1     2
 -3.1278600623133056E-02 a        83     0     5     1     3
  4.0977146498519516E-02 a        84     0     5     1     4
 -7.5159026880224467E-02 a        85     0     5     1     5
 -1.8304673812471123E-01 a        86     0     5     1     6
 -1.0550688079880036E-02 a        87     0     5     1     7
 -2.1613610679180054E-02 a        88     0     5     1     8
 -3.7484493387854777E-02 a        89     0     5     1     9
 -6.5478565865110467E-03 a        90     0     5     1    10
  6.0477131266036072E-02 a        91     0     5     1    11
