################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.9954782503021141E-02 a         1     0     1     1     1
  1.8192368282791060E-01 a         2     0     1     1     2
 -1.7187817176414971E-02 a         3     0     1     1     3
  5.4887253430435004E-02 a         4     0     1     1     4
  3.1383317020235904E-02 a         5     0     1     1     5
 -4.7664461905712351E-02 a         6     0     1     1     6
 -2.1543553430610086E-02 a         7     0     1     1     7
 -6.4120422646585143E-02 a         8     0     1     1     8
 -1.2544276132748275E-01 a         9     0     1     1     9
 -1.0639837656212620E-02 a        10     0     1     1    10
 -1.5084192064127444E-01 a        11     0     1     1    11
 -1.2447737551359385E-01 a        12     0     1     1    12
 -4.2174098489770662E-02 a        13     0     1     1    13
 -1.4352669798877551E-02 a        14     0     1     1    14
  9.1325675382686572E-02 a        15     0     1     1    15
 -6.1551286992382034E-02 a        16     0     1     1    16
  6.2072184321338729E-02 a        17     0     1     1    17
 -1.3942438764202325E-01 a        18     0     1     1    18
  6.9035097500146747E-02 a        19     0     1     1    19
 -6.6565470894326809E-02 a        20     0     1     1    20
 -1.2677174447467907E-01 a        21     0     2     1     1
  1.4542664038963163E-01 a        22     0     2     1     2
 -8.5391085181703408E-02 a        23     0     2     1     3
 -1.4165962051931674E-03 a        24     0     2     1     4
  1.6735738030708745E-02 a        25     0     2     1     5
  2.3345327940934774E-01 a        26     0     2     1     6
  4.8675066084150641E-02 a        27     0     2     1     7
 -2.0163100259022512E-02 a        28     0     2     1     8
  8.7813006795703183E-02 a        29     0     2     1     9
 -1.1381279131861238E-01 a        30     0     2     1    10
 -1.9402381434166675E-02 a        31     0     2     1    11
  1.8582383178549147E-01 a        32     0     2     1    12
  4.5262377090974887E-02 a        33     0     2     1    13
 -2.6390002841741495E-02 a        34     0     2     1    14
 -4.9076627883266513E-02 a        35     0     2     1    15
  4.1241016511529643E-02 a        36     0     2     1    16
  8.9933082116996951E-02 a        37     0     2     1    17
  7.7375038272427740E-03 a        38     0     2     1    18
 -6.8720747112064010E-02 a        39     0     2     1    19
 -8.1242557801791446E-02 a        40     0     2     1    20
 -1.4260609394091364E-01 a        41     0     3     1     1
  1.5230407952334253E-02 a        42     0     3     1     2
  9.6387735379037165E-02 a        43     0     3     1     3
  3.3024966167818838E-02 a        44     0     3     1     4
  3.1841263800388091E-02 a        45     0     3     1     5
 -2.5293899240063950E-02 a        46     0     3     1     6
 -1.8945492195795660E-01 a        47     0     3     1     7
  2.5935687141214855E-02 a        48     0     3     1     8
  3.4276640577695340E-02 a        49     0     3     1     9
