################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.3787591894086373E-01 a         1     0     1     1     1
 -3.2097796648064314E-01 a         2     0     1     1     2
  1.3011527144105031E-01 a         3     0     1     1     3
 -8.0271942839262572E-03 a         4     0     1     1     4
  2.7758372010773474E-01 a         5     0     1     1     5
  2.0118708614866097E-03 a         6     0     1     1     6
  4.8425410109176414E-01 a         7     0     1     1     7
  1.9018646887064192E-01 a         8     0     1     1     8
  5.2143249693824854E-02 a         9     0     1     1     9
 -2.0187520773695150E-01 a        10     0     1     1    10
  3.4494960905535749E-02 a        11     0     1     1    11
  1.6993440468414425E-01 a        12     0     1     1    12
 -1.8793569750263475E-01 a        13     0     1     1    13
  5.8856497418826863E-02 a        14     0     1     1    14
 -1.2381203730773366E-02 a        15     0     1     1    15
 -6.1028349966654072E-02 a        16     0     1     1    16
  8.3759074402857500E-02 a        17     0     1     1    17
  3.7175635318679214E-02 a        18     0     1     1    18
  9.0649912093852425E-02 a        19     0     1     1    19
  2.1548554685150148E-01 a        20     0     1     1    20
 -4.6356155409490538E-03 a        21     0     2     1     1
 -1.5303167394523151E-02 a        22     0     2     1     2
 -2.5970119848903817E-01 a        23     0     2     1     3
 -2.0065803888431871E-01 a        24     0     2     1     4
  2.1632294469180195E-02 a        25     0     2     1     5
  1.4491274810208329E-01 a        26     0     2     1     6
 -2.8484365409388429E-01 a        27     0     2     1     7
  9.4271178344452977E-02 a        28     0     2     1     8
 -7.1142052672897041E-02 a        29     0     2     1     9
  2.8161607779780851E-01 a        30     0     2     1    10
  4.7069111451980888E-01 a        31     0     2     1    11
  6.3661338469400960E-02 a        32     0     2     1    12
 -1.3778762202420153E-01 a        33     0     2     1    13
  2.6527646828291344E-02 a        34     0     2     1    14
  6.7743205513585911E-02 a        35     0     2     1    15
 -3.6416430456145654E-01 a        36     0     2     1    16
 -5.5856204508489438E-01 a        37     0     2     1    17
  4.7016526698507914E-02 a        38     0     2     1    18
  4.3097708833057531E-02 a        39     0     2     1    19
 -3.3994730264007311E-01 a        40     0     2     1    20
 -3.0669436860359006E-01 a        41     0     3     1     1
  3.5931170563698744E-01 a        42     0     3     1     2
 -2.9661101453859051E-01 a        43     0     3     1     3
 -1.1728050588950546E-01 a        44     0     3     1     4
 -2.3218033528506904E-01 a        45     0     3     1     5
  6.8975643169065015E-01 a        46     0     3     1     6
  3.3525371542930671E-01 a        47     0     3     1     7
  1.1253435232602794E-01 a        48     0     3     1     8
 -6.6896460014117654E-01 a        49     0     3     1     9
 -3.4888117286882808E-01 a        50     0     3     1    10
  7.8936732697402356E-01 a        51     0     3     1    11
 -1.5331504940743593E-01 a        52     0     3     1    12
 -1.9410614584177485E-01 a        53     0     3     1    13
 -3.2523616963157453E-01 a        54     0     3     1    14
 -1.1120346193787480E-01 a        55     0     3     1    15
  3.5630706001921197E-01 a        56     0     3     1    16
 -4.7314776203584086E-01 a        57     0     3     1    17
 -1.1821255888950172E-01 a        58     0     3     1    18
 -5.1889981021566334E-01 a        59     0     3     1    19
 -6.3346953313529630E-02 a        60     0     3     1    20
  3.2590586538549272E-03 a        61     0     4     1     1
  1.0345575037304340E-01 a        62     0     4     1     2
  5.2820096933498427E-03 a        63     0     4     1     3
  2.7864537845584630E-01 a        64     0     4     1     4
  1.7167974273538136E-02 a        65     0     4     1     5
  1.0586931580628740E-01 a        66     0     4     1     6
 -9.6932623884121577E-02 a        67     0     4     1     7
  1.8365625731236962E-01 a        68     0     4     1     8
  1.3903471879741913E-01 a        69     0     4     1     9
  3.9156609086734830E-02 a        70     0     4     1    10
  7.8456429914153608E-02 a        71     0     4     1    11
 -3.6766878193860743E-04 a        72     0     4     1    12
 -1.2948695944341063E-01 a        73     0     4     1    13
 -1.0009453143403008E-01 a        74     0     4     1    14
  3.2354732498878838E-02 a        75     0     4     1    15
  3.5680017196138255E-03 a        76     0     4     1    16
  1.3268779178336362E-01 a        77     0     4     1    17
 -3.5439291177874414E-02 a        78     0     4     1    18
 -6.6138300044448511E-02 a        79     0     4     1    19
  2.2355644420859336E-01 a        80     0     4     1    20
  2.0755733075192170E-01 a        81     0     5     1     1
  5.8290445587683599E-02 a        82     0     5     1     2
  7.9653079484720959E-02 a        83     0     5     1     3
  1.8969301495212424E-02 a        84     0     5     1     4
  8.9812769852252186E-02 a        85     0     5     1     5
  9.8825768134646164E-02 a        86     0     5     1     6
  1.2935475027169574E-01 a        87     0     5     1     7
  1.3593581221818118E-01 a        88     0     5     1     8
 -8.0872099747306678E-02 a        89     0     5     1     9
 -2.7045417366754917E-02 a        90     0     5     1    10
  1.7856837965575020E-01 a        91     0     5     1    11
  1.8266099133546619E-02 a        92     0     5     1    12
 -3.9704470542440196E-02 a        93     0     5     1    13
  1.2907232100296684E-01 a        94     0     5     1    14
 -8.7244843753420398E-02 a        95     0     5     1    15
  7.2629627653231069E-02 a        96     0     5     1    16
  6.5001602333390187E-03 a        97     0     5     1    17
 -1.3086485379697971E-01 a        98     0     5     1    18
  4.9491341603776273E-02 a        99     0     5     1    19
 -6.9204056463693764E-02 a       100     0     5     1    20
  8.5051208693571312E-01 a       101     0     6     1     1
  7.5180814936584950E-01 a       102     0     6     1     2
  1.9775975827127566E-02 a       103     0     6     1     3
 -2.7785386207523743E-01 a       104     0     6     1     4
 -1.7235662909382546E-01 a       105     0     6     1     5
  1.7145401110263350E-01 a       106     0     6     1     6
  3.0386978343339527E-01 a       107     0     6     1     7
 -1.0403155844286753E-01 a       108     0     6     1     8
  2.1073838872722633E-01 a       109     0     6     1     9
  3.5300723109201487E-01 a       110     0     6     1    10
 -4.7816473463929414E-02 a       111     0     6     1    11
 -3.4816241875332826E-01 a       112     0     6     1    12
  2.9496983134034699E-01 a       113     0     6     1    13
  3.0209235005903651E-01 a       114     0     6     1    14
  2.0923343858427665E-01 a       115     0     6     1    15
  4.2323067226767008E-01 a       116     0     6     1    16
 -5.1991081414119872E-02 a       117     0     6     1    17
 -2.5436743175752857E-01 a       118     0     6     1    18
  7.2884169103204485E-02 a       119     0     6     1    19
 -5.8045301580572717E-01 a       120     0     6     1    20
  1.7941181462918965E-01 a       121     0     7     1     1
  1.1478790739691319E-01 a       122     0     7     1     2
 -3.1192085134635727E-04 a       123     0     7     1     3
 -2.3703316140659567E-01 a       124     0     7     1     4
 -2.5887748018667767E-01 a       125     0     7     1     5
  1.1707356721700774E-02 a       126     0     7     1     6
  2.0521997331332995E-01 a       127     0     7     1     7
  1.1685958522968327E-01 a       128     0     7     1     8
 -3.1635304489080773E-01 a       129     0     7     1     9
 -1.4602096169030912E-01 a       130     0     7     1    10
 -3.2455587440223860E-01 a       131     0     7     1    11
  3.5627423062517916E-01 a       132     0     7     1    12
  3.7169495195158708E-01 a       133     0     7     1    13
  1.6625694375923472E-01 a       134     0     7     1    14
  1.9063330598577691E-01 a       135     0     7     1    15
  2.5997549609796663E-02 a       136     0     7     1    16
  4.8173078125067659E-01 a       137     0     7     1    17
 -3.1582816262814131E-02 a       138     0     7     1    18
  4.0555604922066596E-01 a       139     0     7     1    19
 -3.2077945396511751E-02 a       140     0     7     1    20
  5.2035713948065732E-01 a       141     0     8     1     1
 -5.6432489415306586E-01 a       142     0     8     1     2
  1.6274154386312265E-01 a       143     0     8     1     3
  1.0534381606314895E-01 a       144     0     8     1     4
  2.8507951073088034E-01 a       145     0     8     1     5
 -3.0974422765154042E-01 a       146     0     8     1     6
 -4.4620983222997471E-02 a       147     0     8     1     7
  1.5478418584451301E-01 a       148     0     8     1     8
  7.7437268638755130E-01 a       149     0     8     1     9
 -2.6760481116432261E-01 a       150     0     8     1    10
 -5.6166095637997981E-01 a       151     0     8     1    11
  4.4980510777628036E-01 a       152     0     8     1    12
  3.0587340750716407E-01 a       153     0     8     1    13
  1.9235863739423836E-01 a       154     0     8     1    14
  4.2810869590017125E-01 a       155     0     8     1    15
 -1.3365193753788460E-01 a       156     0     8     1    16
