LAMMPS data file via write_data, version 2 Aug 2023, timestep = 1000000, units = real

1024 atoms
5 atom types

0 19.76 xlo xhi
0 21.39 ylo yhi
0 34.93 zlo zhi

Masses

1 12.011
2 15.9994
3 1.008
4 22.9898
5 35.453

Atoms # full

1 1 1 0 0.618 0.356 7.5 0 0 0
2 2 1 0 1.853 3.922 7.5 0 0 0
3 3 1 0 1.853 2.495 7.5 0 0 0
4 4 1 0 0.618 1.782 7.5 0 0 0
9 9 1 0 0.618 4.634 7.5 0 0 0
10 10 1 0 1.853 8.2 7.5 0 0 0
11 11 1 0 1.853 6.774 7.5 0 0 0
12 12 1 0 0.618 6.06 7.5 0 0 0
17 17 1 0 0.618 8.912 7.5 0 0 0
20 20 1 0 0.618 10.338 7.5 0 0 0
41 41 1 0 3.088 0.356 7.5 0 0 0
42 42 1 0 4.322 3.922 7.5 0 0 0
43 43 1 0 4.322 2.495 7.5 0 0 0
44 44 1 0 3.088 1.782 7.5 0 0 0
49 49 1 0 3.088 4.634 7.5 0 0 0
50 50 1 0 4.322 8.2 7.5 0 0 0
51 51 1 0 4.322 6.774 7.5 0 0 0
52 52 1 0 3.088 6.06 7.5 0 0 0
57 57 1 0 3.088 8.912 7.5 0 0 0
60 60 1 0 3.088 10.338 7.5 0 0 0
81 81 1 0 5.558 0.356 7.5 0 0 0
82 82 1 0 6.793 3.922 7.5 0 0 0
83 83 1 0 6.793 2.495 7.5 0 0 0
84 84 1 0 5.558 1.782 7.5 0 0 0
89 89 1 0 5.558 4.634 7.5 0 0 0
90 90 1 0 6.793 8.2 7.5 0 0 0
91 91 1 0 6.793 6.774 7.5 0 0 0
92 92 1 0 5.558 6.06 7.5 0 0 0
97 97 1 0 5.558 8.912 7.5 0 0 0
100 100 1 0 5.558 10.338 7.5 0 0 0
121 121 1 0 8.027 0.356 7.5 0 0 0
122 122 1 0 9.262 3.922 7.5 0 0 0
123 123 1 0 9.262 2.495 7.5 0 0 0
124 124 1 0 8.027 1.782 7.5 0 0 0
129 129 1 0 8.027 4.634 7.5 0 0 0
130 130 1 0 9.262 8.2 7.5 0 0 0
131 131 1 0 9.262 6.774 7.5 0 0 0
132 132 1 0 8.027 6.06 7.5 0 0 0
137 137 1 0 8.027 8.912 7.5 0 0 0
140 140 1 0 8.027 10.338 7.5 0 0 0
772 471 3 0.4238 2.1812853677957325 2.247615421757739 14.873362089673801 5 0 0
524 388 3 0.4238 7.8094830821676045 6.425146192258367 11.044172938243314 6 -1 0
1011 551 2 -0.8476 4.2058320186020834 1.946327361557593 14.555236382742052 4 -1 0
341 327 3 0.4238 0.5007131459389192 9.684394717537746 12.500972917036075 3 -2 0
787 476 3 0.4238 7.339210928845071 3.2540565866336078 16.100921160920624 4 -1 0
386 342 3 0.4238 1.8645930751516175 4.008525948055063 16.733341517341923 3 0 0
927 523 2 -0.8476 0.6027729910900803 7.1657229544085626 13.957170577628412 5 -2 0
952 531 3 0.4238 8.145812202498083 8.809987997693344 12.875731228333986 5 -2 0
616 419 3 0.4238 0.5024509884782626 5.629969182387898 14.824897995864353 5 -1 0
671 437 3 0.4238 0.009081815121664531 6.0794250008243695 12.220842178069617 4 -2 0
773 471 3 0.4238 0.7827783460265395 3.088409225142092 14.935574293037615 5 0 0
928 523 3 0.4238 1.4574717802132964 7.024507171936995 14.456718454028158 5 -2 0
771 471 2 -0.8476 1.1905966196322122 2.1769538821882852 14.989735397423823 5 0 0
788 476 3 0.4238 6.739860962571994 4.732417169429535 16.449999948648937 4 -1 0
973 538 3 0.4238 5.498526116629748 5.290054130019227 10.56607288517602 3 -1 0
1013 551 3 0.4238 4.295814164244363 1.808361630275569 15.541578014745589 4 -1 0
991 544 3 0.4238 3.630639087037827 8.940292209898479 17.029203432348343 5 1 0
751 464 3 0.4238 3.7511423420678867 5.628142575348358 14.001418939375935 5 -1 0
339 327 2 -0.8476 0.5364649049486901 9.667730055586272 13.500194653931974 3 -2 0
570 404 2 -0.8476 4.2978930276082705 2.461999050968923 17.153255646826995 5 -2 0
1014 552 2 -0.8476 4.669088197917778 4.0275997933375125 12.859917525104509 4 -2 0
997 546 3 0.4238 6.902228938887659 6.771463964013228 13.610820591967952 2 -2 0
853 498 3 0.4238 2.8320928237486904 3.973611082097188 10.01895445466704 5 -2 0
938 526 3 0.4238 6.61474818796654 8.895500994162775 10.643905332346247 4 -1 0
929 523 3 0.4238 0.5369526573624145 8.122218306986065 13.67294477822596 5 -2 0
897 513 2 -0.8476 8.729400789481616 7.913442673032334 10.58057099613796 4 -3 0
590 410 3 0.4238 6.083869234187361 9.710307311219585 16.250747964549902 4 -1 0
351 331 2 -0.8476 4.368555993824308 8.23124380927804 12.578574495241579 6 -2 0
347 329 3 0.4238 6.437625310908877 1.0162982875597284 11.74132867062965 5 -2 0
523 388 3 0.4238 7.266396033463975 5.220631869449282 12.00377087527052 6 -1 0
414 352 2 -0.8476 6.715468405899339 6.493131574612199 16.505658713637846 4 0 0
898 513 3 0.4238 9.122350174358726 8.797033554846518 10.835244413752665 4 -3 0
522 388 2 -0.8476 7.41217187756625 5.5075515098806145 11.056972819542594 6 -1 0
461 367 3 0.4238 2.99915353721739 1.6093592575233173 10.49337931414115 6 -1 0
854 498 3 0.4238 1.4142243701019757 4.523765002555269 10.613602589151988 5 -2 0
525 389 2 -0.8476 9.66657495099827 8.99525363468477 16.774852365658663 2 -2 0
821 487 3 0.4238 3.1664562532428 7.593999632338492 11.389497233278824 6 0 0
497 379 3 0.4238 3.7562746201870754 6.207320716500575 15.962425422093771 5 -1 0
1010 550 3 0.4238 7.583442716945376 2.3281983550460423 13.635509578991718 5 0 0
852 498 2 -0.8476 1.897547792883982 3.7194320800218317 10.267990460180604 5 -2 0
916 519 3 0.4238 2.0895909711200886 8.75212140252615 10.344250523551539 5 0 0
460 367 3 0.4238 2.514826466661878 0.05462597492974023 10.615275050636004 6 -1 0
974 538 3 0.4238 4.281537916094104 4.848077388898998 11.561172234326355 3 -1 0
405 349 2 -0.8476 8.637569316806074 0.6732553435049617 16.543171577763978 3 0 0
669 437 2 -0.8476 0.0732815458410412 5.767742212218518 11.272826993012746 4 -2 0
406 349 3 0.4238 8.317219532617154 1.2483580840278012 15.79042138667549 3 0 0
915 519 2 -0.8476 1.6469404568217065 9.641883954381898 10.232970906377172 5 0 0
646 429 3 0.4238 0.45207503030078633 2.717324894570152 10.983232025310993 4 0 0
752 464 3 0.4238 3.614737138770936 7.217886854086402 13.653952048678532 5 -1 0
786 476 2 -0.8476 6.678805973523575 3.7564182013138607 16.659041288022543 4 -1 0
1002 548 2 -0.8476 9.365690015217384 5.684760291275575 15.01966640421437 4 -2 0
353 331 3 0.4238 5.325439096621415 8.228734366870876 12.288111171200276 6 -2 0
750 464 2 -0.8476 3.3915448571720286 6.505452421383691 14.319250787365867 5 -1 0
1012 551 3 0.4238 3.9084871423585605 1.0938872390095296 14.12519809469374 4 -1 0
998 546 3 0.4238 7.892504019842673 5.559216611519505 14.07604968843531 2 -2 0
346 329 3 0.4238 5.440215649665278 2.191334661515184 12.28085632707542 5 -2 0
527 389 3 0.4238 9.449160026297838 8.038435018261977 16.967801987360055 2 -2 0
819 487 2 -0.8476 2.7051553268614366 7.296760327953871 10.553524619514299 6 0 0
526 389 3 0.4238 8.906877935093378 9.41629900357221 16.279290642978495 2 -2 0
1015 552 3 0.4238 4.207734741127263 3.3042311351145037 13.373620541202058 4 -2 0
1016 552 3 0.4238 5.652229726830008 3.988134690170817 13.038453930819202 4 -2 0
932 524 3 0.4238 8.490606817182606 4.052195651164372 10.747379865284138 5 -1 0
953 531 3 0.4238 7.123509496177233 9.162620898963857 14.09932172266512 5 -2 0
352 331 3 0.4238 4.23887634194401 8.918889742926906 13.29294625726021 6 -2 0
899 513 3 0.4238 8.483990812221007 7.924747771193111 9.611217524499953 4 -3 0
345 329 2 -0.8476 6.396042640751994 1.9268663023193304 12.152592162685824 5 -2 0
972 538 2 -0.8476 4.510123694115822 5.156136760597516 10.637674520148389 3 -1 0
990 544 2 -0.8476 4.458129604769903 9.41377532772539 16.72742037809828 5 1 0
1008 550 2 -0.8476 8.076041189376458 2.543016324701642 14.478836812931233 5 0 0
951 531 2 -0.8476 7.260282140304346 8.594914389983476 13.287531985040639 5 -2 0
820 487 3 0.4238 3.1196863264301253 6.44683558243987 10.228267841661419 6 0 0
931 524 3 0.4238 8.506093989933902 2.4780380535807756 11.181447213996535 5 -1 0
415 352 3 0.4238 5.8606204727610045 6.504668938472252 17.024409026335793 4 0 0
930 524 2 -0.8476 9.060800794430184 3.304882520656066 11.088557131068784 5 -1 0
936 526 2 -0.8476 6.046633148612081 9.684981971670663 10.411601172661388 4 -1 0
996 546 2 -0.8476 7.039926219208218 5.7810216314442995 13.60285454736679 2 -2 0
496 379 3 0.4238 3.557512407444745 5.343886553737507 17.334140481646248 5 -1 0
340 327 3 0.4238 1.4267803828787577 10.003724079340232 13.80751595180982 3 -2 0
1009 550 3 0.4238 8.995562650452824 2.8658986605905135 14.254720801826899 5 0 0
459 367 2 -0.8476 2.929788368584962 0.821346733957806 11.105118457257321 6 -1 0
495 379 2 -0.8476 4.117318369665601 6.0364424801355625 16.879185575840093 5 -1 0
992 544 3 0.4238 4.353135440024703 9.69285544660801 15.77290974246052 5 1 0
917 519 3 0.4238 2.3401389317283967 10.337982447641384 10.046094634106277 5 0 0
588 410 2 -0.8476 6.942629783604525 9.815488090535773 15.749281198732588 4 -1 0
