################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.8286274265139721E-01 a         1     0     1     1     1
 -4.8487224651426952E-01 a         2     0     1     1     2
 -4.0186436182111845E-01 a         3     0     1     1     3
 -1.2499743971666157E-01 a         4     0     1     1     4
 -2.8088769834139445E-02 a         5     0     1     1     5
  6.2936990371176627E-01 a         6     0     1     1     6
 -5.6905362307395076E-02 a         7     0     1     1     7
  1.0564852714037559E-01 a         8     0     1     1     8
  1.6531521122273185E-01 a         9     0     1     1     9
  1.2704718664974829E-01 a        10     0     1     1    10
 -2.3374648868005063E-01 a        11     0     1     1    11
  2.3567579682759376E-01 a        12     0     1     1    12
 -1.2208070735305475E-01 a        13     0     1     1    13
  1.9202023686717438E-02 a        14     0     1     1    14
  1.3969987739574946E-01 a        15     0     1     1    15
  1.5699087629933155E-02 a        16     0     1     1    16
  4.0290095103369039E-01 a        17     0     1     1    17
 -6.9718582489187303E-02 a        18     0     1     1    18
 -1.9325878279426748E-01 a        19     0     1     1    19
  1.0204136801286208E-01 a        20     0     1     1    20
 -1.3128131680350520E-02 a        21     0     2     1     1
  1.0572096871469486E-01 a        22     0     2     1     2
  1.8736728085396742E-01 a        23     0     2     1     3
  9.0510100451526715E-02 a        24     0     2     1     4
 -8.7360900855121704E-03 a        25     0     2     1     5
  2.4422858976103679E-01 a        26     0     2     1     6
  1.4528568122020438E-01 a        27     0     2     1     7
 -2.0719510531989505E-01 a        28     0     2     1     8
  1.1105488775413085E-01 a        29     0     2     1     9
 -6.9076065094362635E-02 a        30     0     2     1    10
  3.6306819457413997E-01 a        31     0     2     1    11
  1.3647717872421691E-01 a        32     0     2     1    12
 -5.2785461355186603E-01 a        33     0     2     1    13
 -1.0544717053608560E-01 a        34     0     2     1    14
  9.6145920084481612E-02 a        35     0     2     1    15
  9.3693105738364452E-02 a        36     0     2     1    16
 -3.9643935896521015E-03 a        37     0     2     1    17
  2.6296466792873996E-01 a        38     0     2     1    18
 -3.7501938607733681E-02 a        39     0     2     1    19
 -3.7259678508888699E-02 a        40     0     2     1    20
 -1.1146146956281658E-01 a        41     0     3     1     1
 -2.5936637441383203E-01 a        42     0     3     1     2
  1.8916062331279898E-01 a        43     0     3     1     3
  9.1447873391199228E-03 a        44     0     3     1     4
 -6.9765115512957665E-02 a        45     0     3     1     5
  1.2296956910141137E-01 a        46     0     3     1     6
  2.7011211133453228E-01 a        47     0     3     1     7
  4.3704138438579176E-02 a        48     0     3     1     8
 -6.8933519084167519E-02 a        49     0     3     1     9
  2.0846951013300216E-01 a        50     0     3     1    10
  6.5091680796548507E-04 a        51     0     3     1    11
  1.2295463244045951E-01 a        52     0     3     1    12
 -4.1874605726459757E-01 a        53     0     3     1    13
  3.5889761510794860E-01 a        54     0     3     1    14
  9.6190306848294382E-02 a        55     0     3     1    15
 -7.9171098056431177E-01 a        56     0     3     1    16
 -5.0209697703813572E-01 a        57     0     3     1    17
 -8.5281699805559955E-02 a        58     0     3     1    18
 -3.1793823711407759E-01 a        59     0     3     1    19
  6.4710621615782404E-01 a        60     0     3     1    20
 -2.9442362500597827E-02 a        61     0     4     1     1
  1.7088836822517224E-02 a        62     0     4     1     2
 -3.4936159199857451E-02 a        63     0     4     1     3
 -1.8372958080422996E-02 a        64     0     4     1     4
  7.7130617419317038E-03 a        65     0     4     1     5
  2.2744927636437488E-02 a        66     0     4     1     6
  1.0736942253770212E-01 a        67     0     4     1     7
  1.3741655640606723E-01 a        68     0     4     1     8
  1.5783376904994947E-01 a        69     0     4     1     9
  5.1465867633598533E-02 a        70     0     4     1    10
 -5.2643902247290403E-02 a        71     0     4     1    11
 -2.8674834809760255E-02 a        72     0     4     1    12
 -2.0244649696161510E-01 a        73     0     4     1    13
  8.0912711912611970E-02 a        74     0     4     1    14
  1.0982643752711985E-01 a        75     0     4     1    15
  1.2961033821034118E-02 a        76     0     4     1    16
 -1.4447940017461161E-01 a        77     0     4     1    17
 -6.8743999402412798E-02 a        78     0     4     1    18
  1.6305000315025364E-01 a        79     0     4     1    19
  1.6417015649790040E-01 a        80     0     4     1    20
 -1.0364817207023489E-02 a        81     0     5     1     1
  6.5639940669637520E-02 a        82     0     5     1     2
 -5.6362770323274039E-02 a        83     0     5     1     3
  3.1043068866762266E-02 a        84     0     5     1     4
 -1.2434395070411530E-01 a        85     0     5     1     5
 -1.0395931009284133E-01 a        86     0     5     1     6
  2.3616472295826782E-01 a        87     0     5     1     7
  1.4638789940436379E-02 a        88     0     5     1     8
 -1.9158510706995086E-01 a        89     0     5     1     9
 -1.4240381581097897E-01 a        90     0     5     1    10
  2.7340125193447851E-01 a        91     0     5     1    11
 -9.9707035586585405E-02 a        92     0     5     1    12
 -1.0856466030613281E-01 a        93     0     5     1    13
  7.8660461146789276E-02 a        94     0     5     1    14
  9.8243971222205156E-02 a        95     0     5     1    15
 -2.2053567976088062E-01 a        96     0     5     1    16
 -1.7127363926137798E-02 a        97     0     5     1    17
  1.5725485062353384E-02 a        98     0     5     1    18
 -5.0772539853572975E-02 a        99     0     5     1    19
 -1.6472852657856296E-01 a       100     0     5     1    20
 -8.0417669561931393E-01 a       101     0     6     1     1
  5.9691284902544417E-01 a       102     0     6     1     2
 -6.3405324321815959E-01 a       103     0     6     1     3
  5.7029049382145247E-01 a       104     0     6     1     4
  3.3126587939166112E-02 a       105     0     6     1     5
 -2.1065835501855271E-02 a       106     0     6     1     6
  1.2342461121424489E-01 a       107     0     6     1     7
 -7.4669280437124663E-01 a       108     0     6     1     8
  8.2751707314319592E-02 a       109     0     6     1     9
 -4.7938134824675022E-01 a       110     0     6     1    10
  3.6072301212433561E-01 a       111     0     6     1    11
 -2.1639139833432661E-01 a       112     0     6     1    12
 -3.1079593360338104E-01 a       113     0     6     1    13
  3.0513807838199519E-01 a       114     0     6     1    14
 -1.4705345734538175E-01 a       115     0     6     1    15
  1.0194627843324497E-01 a       116     0     6     1    16
 -5.4524838561751021E-01 a       117     0     6     1    17
  6.3325690342374485E-01 a       118     0     6     1    18
  4.8378130075732018E-01 a       119     0     6     1    19
  2.5560877744279031E-01 a       120     0     6     1    20
  1.8170786521618052E-02 a       121     0     7     1     1
  5.3818855477442085E-01 a       122     0     7     1     2
 -4.2592427293631596E-01 a       123     0     7     1     3
 -3.0641872462745046E-01 a       124     0     7     1     4
  1.5313875036096681E-02 a       125     0     7     1     5
  1.0085826552992300E-01 a       126     0     7     1     6
  2.0073005707480324E-01 a       127     0     7     1     7
  7.3292241306572609E-02 a       128     0     7     1     8
  7.5220531797373230E-02 a       129     0     7     1     9
 -1.2807171952412291E-01 a       130     0     7     1    10
 -2.7687569829476955E-01 a       131     0     7     1    11
 -3.8851307479140486E-02 a       132     0     7     1    12
  2.0946741432781114E-02 a       133     0     7     1    13
 -7.2468331648190387E-02 a       134     0     7     1    14
 -1.3401901401382535E-01 a       135     0     7     1    15
  3.3616934769757678E-01 a       136     0     7     1    16
 -9.9092971000369984E-02 a       137     0     7     1    17
  8.2390317600572832E-02 a       138     0     7     1    18
  9.3203486729271021E-02 a       139     0     7     1    19
 -4.6946108155976624E-03 a       140     0     7     1    20
  4.6740759891941758E-01 a       141     0     8     1     1
  6.2912594905110197E-01 a       142     0     8     1     2
 -4.0650387627108797E-01 a       143     0     8     1     3
 -7.4418904186363621E-01 a       144     0     8     1     4
  4.0916873408776155E-01 a       145     0     8     1     5
  2.0755947169310232E-01 a       146     0     8     1     6
  2.7440741947000941E-01 a       147     0     8     1     7
 -7.9649484645071961E-02 a       148     0     8     1     8
  1.3561250749537665E-01 a       149     0     8     1     9
  2.1139391273568270E-01 a       150     0     8     1    10
  8.8629359575626221E-01 a       151     0     8     1    11
 -2.1005102155415864E-01 a       152     0     8     1    12
  7.9739349583524150E-03 a       153     0     8     1    13
 -1.0706964819369544E-01 a       154     0     8     1    14
 -6.1565512895683083E-01 a       155     0     8     1    15
  5.7597909126666780E-01 a       156     0     8     1    16
  2.0417963122694111E-01 a       157     0     8     1    17
 -2.4454272223056372E-01 a       158     0     8     1    18
  4.9453991507115208E-01 a       159     0     8     1    19
 -5.7274227411665313E-01 a       160     0     8     1    20
  1.4440065852822315E-01 a       161     0     9     1     1
  9.9259723337877442E-02 a       162     0     9     1     2
  1.5120295186963565E-02 a       163     0     9     1     3
 -1.8701781892306125E-02 a       164     0     9     1     4
 -6.1758854341562544E-02 a       165     0     9     1     5
  1.8295855728549651E-02 a       166     0     9     1     6
 -2.3168769157912830E-01 a       167     0     9     1     7
 -3.9976824339909497E-02 a       168     0     9     1     8
 -1.1399800277938722E-01 a       169     0     9     1     9
 -5.0280356484614021E-02 a       170     0     9     1    10
 -2.2050783514606287E-01 a       171     0     9     1    11
 -1.6909680259911697E-01 a       172     0     9     1    12
  8.4474245805940582E-02 a       173     0     9     1    13
  5.8245096139835299E-02 a       174     0     9     1    14
  1.2397888719126003E-01 a       175     0     9     1    15
 -2.3090301106697100E-02 a       176     0     9     1    16
 -4.9722410312936331E-02 a       177     0     9     1    17
 -1.7747764761193096E-03 a       178     0     9     1    18
 -1.7430914503325801E-01 a       179     0     9     1    19
 -1.8467770349149198E-01 a       180     0     9     1    20
  1.4272858078481615E-01 a       181     0    10     1     1
 -1.0523164958526898E-01 a       182     0    10     1     2
 -1.2323568094970831E-01 a       183     0    10     1     3
 -1.7623965452309445E-01 a       184     0    10     1     4
 -1.4037402300293061E-01 a       185     0    10     1     5
  1.2381444007376190E-01 a       186     0    10     1     6
 -8.7323107597543095E-02 a       187     0    10     1     7
  7.8400680577481424E-02 a       188     0    10     1     8
  1.4424525428079010E-01 a       189     0    10     1     9
  1.5737584508917914E-02 a       190     0    10     1    10
  1.6414847335949966E-04 a       191     0    10     1    11
  5.7543239153945921E-02 a       192     0    10     1    12
 -5.5184230867437734E-02 a       193     0    10     1    13
 -1.5754832639477065E-01 a       194     0    10     1    14
  6.3229872159788661E-02 a       195     0    10     1    15
 -8.8111819842081052E-02 a       196     0    10     1    16
  1.9765964370052841E-01 a       197     0    10     1    17
 -1.5190860005410572E-01 a       198     0    10     1    18
  6.3568840503369459E-02 a       199     0    10     1    19
 -1.8997708469576591E-01 a       200     0    10     1    20
 -3.4696438376990424E-01 a       201     0    11     1     1
 -3.5515607910201315E-02 a       202     0    11     1     2
  8.3011479187014481E-01 a       203     0    11     1     3
 -4.8078093546588002E-01 a       204     0    11     1     4
 -8.4004001100498899E-03 a       205     0    11     1     5
 -2.9058418502022187E-01 a       206     0    11     1     6
 -1.9761532118382855E-01 a       207     0    11     1     7
  5.6802326720205776E-01 a       208     0    11     1     8
 -3.1720415626142934E-01 a       209     0    11     1     9
  3.2896098587715306E-01 a       210     0    11     1    10
 -4.7643947028527073E-01 a       211     0    11     1    11
  8.5031278028560212E-02 a       212     0    11     1    12
  1.1712741369840085E-01 a       213     0    11     1    13
 -4.8830491251060526E-01 a       214     0    11     1    14
 -2.6016124876878126E-03 a       215     0    11     1    15
  1.1145639487542512E-01 a       216     0    11     1    16
  4.7403907696058878E-01 a       217     0    11     1    17
 -5.5500156627462960E-01 a       218     0    11     1    18
 -5.1007539537778479E-01 a       219     0    11     1    19
 -3.3358599728314864E-01 a       220     0    11     1    20
 -1.8505401172263608E-01 a       221     0    12     1     1
 -1.1647536958470688E-01 a       222     0    12     1     2
  1.9999714117069770E-01 a       223     0    12     1     3
  6.5484144965533522E-02 a       224     0    12     1     4
 -1.9395747485966708E-01 a       225     0    12     1     5
  1.7968128702544678E-01 a       226     0    12     1     6
 -1.4638722108327457E-01 a       227     0    12     1     7
 -5.8268720875792247E-02 a       228     0    12     1     8
  1.6638944684424095E-01 a       229     0    12     1     9
 -1.9561944696999597E-01 a       230     0    12     1    10
  1.1033315696788600E-01 a       231     0    12     1    11
 -1.0331049917484696E-01 a       232     0    12     1    12
 -1.1652043383586054E-01 a       233     0    12     1    13
 -5.1310196957524923E-02 a       234     0    12     1    14
 -2.1422079384853238E-01 a       235     0    12     1    15
 -1.9564611502767493E-01 a       236     0    12     1    16
 -1.1105701179343984E-01 a       237     0    12     1    17
 -2.0536137862058085E-01 a       238     0    12     1    18
 -7.6651600318971037E-03 a       239     0    12     1    19
  2.7336970307495512E-01 a       240     0    12     1    20
 -2.4528171340550545E-01 a       241     0    13     1     1
  3.5619030102654131E-02 a       242     0    13     1     2
  9.2864820710167606E-02 a       243     0    13     1     3
  6.3342303085107479E-03 a       244     0    13     1     4
 -1.3401274855101214E-01 a       245     0    13     1     5
  2.3863511357190847E-01 a       246     0    13     1     6
 -5.4379893964188755E-02 a       247     0    13     1     7
 -4.6966736287129499E-03 a       248     0    13     1     8
  3.3074202271565928E-01 a       249     0    13     1     9
  2.3857184527468137E-01 a       250     0    13     1    10
 -1.7845313670248311E-01 a       251     0    13     1    11
  3.6810768247711179E-01 a       252     0    13     1    12
 -2.1811932698201583E-02 a       253     0    13     1    13
  3.3003027131644153E-01 a       254     0    13     1    14
  1.3361693164609809E-01 a       255     0    13     1    15
  6.0396514571667358E-02 a       256     0    13     1    16
 -3.2020404764753813E-01 a       257     0    13     1    17
 -1.1495882941786389E-01 a       258     0    13     1    18
 -1.6387056453607593E-02 a       259     0    13     1    19
  4.1708869974095353E-01 a       260     0    13     1    20
 -1.3824169690308111E-01 a       261     0    14     1     1
 -1.9294037635580236E-01 a       262     0    14     1     2
 -1.6911452930814066E-03 a       263     0    14     1     3
 -4.4260015712194820E-03 a       264     0    14     1     4
  3.9858565804804715E-02 a       265     0    14     1     5
 -1.5251075270373601E-01 a       266     0    14     1     6
  2.0613059525839063E-02 a       267     0    14     1     7
 -2.2963387911054605E-02 a       268     0    14     1     8
  1.0145087993143065E-02 a       269     0    14     1     9
 -2.0528128741959823E-02 a       270     0    14     1    10
  1.0062500629155424E-01 a       271     0    14     1    11
  1.8003135892977840E-01 a       272     0    14     1    12
 -1.0300406300413355E-01 a       273     0    14     1    13
 -8.9308349212386409E-02 a       274     0    14     1    14
 -2.0730297839935566E-01 a       275     0    14     1    15
  6.5326749870280296E-02 a       276     0    14     1    16
  2.4978877640429339E-01 a       277     0    14     1    17
  1.7387665659965210E-01 a       278     0    14     1    18
 -1.2313097330719756E-02 a       279     0    14     1    19
  5.1961981543544929E-02 a       280     0    14     1    20
  1.1931502515909197E-02 a       281     0    15     1     1
